PCs/SiCs,0,1,2,3,4,5,6,7,8,9,10,11,Start,End,Rest
0,0.3,0.0,0.11,0.0,0.04,0.07,0.0,0.16,0.0,0.07,0.0,0.05,0.0,0.02,0.19
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.63,0.0,0.06,0.0,0.19,0.0,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.15,0.0,0.3,0.0,0.0,0.44,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.07
5,0.03,0.0,0.0,0.0,0.45,0.06,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.15,0.0,0.0,0.0,0.12,0.19,0.06,0.17,0.0,0.25,0.0,0.0,0.0,0.0,0.06
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.05,0.0,0.05,0.23,0.0,0.27,0.0,0.09,0.05,0.27,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Rest,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.68
